"nch","z","interval_in_tau","sig","zmax"
5000,0.5,0.2,FALSE,0.0122569582604903
5000,0.5,0.5,FALSE,0.0122950312537431
5000,0.5,1,FALSE,0.0262253209979696
5000,1,0.01,FALSE,0.00569829745402939
5000,1,0.02,FALSE,0.0164784851879695
5000,1,0.05,FALSE,0.0267783429614807
5000,1,0.1,FALSE,0.0164951116289573
5000,1,0.2,FALSE,0.0141508677825962
5000,1,0.5,FALSE,0.0198378229952153
5000,1,1,FALSE,0.0094387435827768
5000,10,0.01,FALSE,0.0185814090225371
5000,10,0.02,FALSE,0.0230581012532394
5000,10,0.05,FALSE,0.0174746536041657
5000,10,0.1,FALSE,0.00849555934587868
5000,10,0.2,FALSE,0.0184877373692389
5000,10,0.5,FALSE,0.0153147513190302
5000,10,1,FALSE,0.0207669085635439
10000,0.05,0.01,FALSE,0.0182020088706027
10000,0.05,0.02,FALSE,0.0150278688797554
10000,0.05,0.05,FALSE,0.0149564412883789
10000,0.05,0.1,FALSE,0.0287012121207039
10000,0.05,0.2,FALSE,0.0193171718080736
10000,0.05,0.5,FALSE,0.0116600747609913
10000,0.05,1,FALSE,0.0132649157437729
10000,0.1,0.01,FALSE,0.0106123161481113
10000,0.1,0.02,FALSE,0.0159615327572221
10000,0.1,0.05,FALSE,0.0160508487256019
10000,0.1,0.1,FALSE,0.0095646329607183
10000,0.1,0.2,FALSE,0.0087533169938665
10000,0.1,0.5,FALSE,0.0126270147831119
10000,0.1,1,FALSE,0.019589724017114
10000,0.2,0.01,FALSE,0.0169113134794516
10000,0.2,0.02,FALSE,0.0163494224205595
10000,0.2,0.05,TRUE,0.0294479248830331
10000,0.2,0.1,FALSE,0.0185134053271615
10000,0.2,0.2,FALSE,0.0179557125325261
10000,0.2,0.5,FALSE,0.0222557364279577
10000,0.2,1,FALSE,0.0109024262207566
10000,0.5,0.01,FALSE,0.0134292735129972
10000,0.5,0.02,TRUE,0.0292326602072723
10000,0.5,0.05,FALSE,0.0163166478789519
10000,0.5,0.1,FALSE,0.0128513282581679
10000,0.5,0.2,FALSE,0.0134273913044915
10000,0.5,0.5,FALSE,0.0156039046727699
10000,0.5,1,FALSE,0.00920197468932099
10000,1,0.01,FALSE,0.0209298487637914
10000,1,0.02,FALSE,0.0153745161589063
10000,1,0.05,TRUE,0.0252618197787051
10000,1,0.1,FALSE,0.0172224577477076
10000,1,0.2,FALSE,0.0109304045116455
10000,1,0.5,FALSE,0.0109974964420754
10000,1,1,FALSE,0.0234464125433437
10000,10,0.01,FALSE,0.00764987659619468
10000,10,0.02,FALSE,0.0181437073905586
10000,10,0.05,FALSE,0.0128471079297608
10000,10,0.1,FALSE,0.00739552410832427
10000,10,0.2,FALSE,0.0177788386111094
10000,10,0.5,FALSE,0.0154184082226692
10000,10,1,FALSE,0.0189265550941903
10000,100,0.01,FALSE,0.00824545476495792
10000,100,0.02,FALSE,0.018677930783867
10000,100,0.05,FALSE,0.00913312185016969
10000,100,0.1,FALSE,0.0142797363002528
10000,100,0.2,FALSE,0.0146665817736332
10000,100,0.5,FALSE,0.0127441861029445
10000,100,1,FALSE,0.0177545101572282
10000,1000,0.01,FALSE,0.0138438244941128
10000,1000,0.02,FALSE,0.0118273116284678
10000,1000,0.05,FALSE,0.0121708037256711
