nch,z,anchor,dir,interval,dAI,ebar,aniso,zmax,znrm
10,1000,sim,0ffbda7,0.01,0.08212415422741638,0.004240291626530503,0.03325782180956415,0.01304418290708186,0.013970431026441693
10,1000,sim,0ffbda7,0.02,0.08315952647313042,0.014711811443903834,0.03059652068310328,0.01796290324257235,0.031073865940121213
10,1000,sim,0ffbda7,0.05,0.0731361579240228,-0.007143387168097576,0.028990601104747597,0.019606817646422553,0.02742587945342348
10,1000,sim,0ffbda7,0.1,0.08315858519751594,0.002366998281048764,0.033866734432865905,0.02333723632093141,0.03410001174755425
10,1000,sim,0ffbda7,0.2,0.06999117572999104,-0.0013221243926069032,0.02854317373911939,0.012425768187033087,0.022618587526367737
10,1000,sim,0ffbda7,0.5,0.07857187110437279,0.006600757139839658,0.03139033545516652,0.022806567139358313,0.03540251517674608
10,1000,sim,0ffbda7,1,0.09270534121704906,-0.0113514744294561,0.036104349829888735,0.010591966189371827,0.011596905005811673
10,10000,pool,0ffbda7,0.01,0.0744485501739806,3.419293945919541e-4,0.03039156990774029,0.017349728333449766,0.0277271485076508
10,10000,pool,0ffbda7,0.02,0.07701629433704396,0.005944420864691205,0.030874727412860757,0.008576963614496351,0.013950067026767286
10,10000,pool,0ffbda7,0.1,0.08102348785758305,0.011900988882503722,0.03086261051369182,0.0213000610739932,0.030783985628489663
10,10000,pool,0ffbda7,0.2,0.08087746681628855,0.007435059273510071,0.03217007926685967,0.024483048893696662,0.04656421905103099
10,10000,pool,0ffbda7,0.5,0.048652779226883276,8.298069554166708e-4,0.019845072642011574,0.008737060332574808,0.012521976604868632
10,10000,pool,0ffbda7,1,0.06655868833740834,0.006469576442163202,0.02639105428344454,0.016073893175143024,0.02900703202383256
10,10000,sim,0ffbda7,0.01,0.07463343631288037,-3.406921441268922e-4,0.0304670679834428,0.017345011012501178,0.031677945069360086
10,10000,sim,0ffbda7,0.02,0.07700205480889101,0.005925572852114989,0.030872430967442785,0.008576814200603935,0.013931311760820157
10,10000,sim,0ffbda7,0.05,0.05376599253263725,-0.010067200170954171,0.019505088384518393,0.01127260055464816,0.018199552502975107
10,10000,sim,0ffbda7,0.1,0.08315172112284427,0.014633676739293729,0.030630436269148992,0.021324655125751612,0.0328499569885791
10,10000,sim,0ffbda7,0.2,0.0818366890462148,0.0095950915381821,0.03200221082021858,0.024530839018203954,0.04619745554409529
10,10000,sim,0ffbda7,0.5,0.048893455636966864,0.0018331811755184406,0.019876312052249514,0.008697970704504945,0.012371895443942134
10,10000,sim,0ffbda7,1,0.07944126703232451,0.017741049020506362,0.02714911289408008,0.01613749287754728,0.02791579470998253
20,0.05,pool,1c2ae6f,0.01,0.699209914929508,0.07617103638510672,0.2751006919995666,0.00248180051642633,0.0030730267635826905
