interval,mean,q025,q16,q5,q84,q975,nch,z
0.05,0.6162120403221896,0.5895924570355908,0.5996569748413105,0.6151669583657478,0.6322277580842403,0.6505639870452514,10,0.1
0.02,0.6222971747522323,0.5675860218939924,0.6051124561665673,0.6234431211207994,0.6401664232979019,0.6626407240004031,10,0.1
0.01,0.6091256518734757,0.5673764742947809,0.5849407105663815,0.6010621424563216,0.6378472277228766,0.6740864703045332,10,0.1
1,0.3642305107373482,0.3212217706930696,0.3381719924936457,0.3641162619014003,0.3858950015495502,0.4097734091519348,10,0.2
0.5,0.3174573000406771,0.2822445915345181,0.300324380574697,0.3171824135785457,0.3326121401457651,0.3546951605382088,10,0.2
0.2,0.3839808510346519,0.3481065590536226,0.3693075760107077,0.3843445638100265,0.3988493712306407,0.4150476098634368,10,0.2
0.1,0.4470436505266079,0.4088827046366049,0.4341028772134522,0.4458394923991329,0.4621843757678981,0.4771851216710855,10,0.2
0.05,0.4556481089313597,0.4212749744435871,0.4391497535877208,0.4548417135345147,0.4721392809371405,0.4897488079015497,10,0.2
0.02,0.4925986219077803,0.4581960587495589,0.4764632415756182,0.491415338139971,0.5109068377597057,0.5338651985664453,10,0.2
0.01,0.4976315015869884,0.4638040535232253,0.4765938326045774,0.4968016835263734,0.5178342050021437,0.5416593323723,10,0.2
1,0.3670958463486932,0.3027092146470815,0.3390769575014118,0.369580724776534,0.3954288115909869,0.4211587721728454,10,0.5
0.5,0.2200856539679363,0.1843581485618807,0.199344121969559,0.2219361493430885,0.2386358650598652,0.2562119605798071,10,0.5
0.2,0.2773466602104573,0.2480303447295749,0.260028336241771,0.2767083763005364,0.2922851510766432,0.3082731545974426,10,0.5
0.1,0.2995981248838173,0.2624637756627233,0.2811453369405937,0.3022894864115594,0.3167309295163468,0.3263218270228407,10,0.5
0.05,0.3351566211468018,0.2994975346340612,0.3195256069470566,0.3341073477602964,0.3538801637504735,0.3751811664836875,10,0.5
0.02,0.3645371465694217,0.3352441828747844,0.3479107272650195,0.366162122732173,0.3800077849689746,0.3957769306377394,10,0.5
0.01,0.3055407380705575,0.2624429358538241,0.2878158828327009,0.3058717485999072,0.3270133672404439,0.3428484650759488,10,0.5
1,0.3081439836787896,0.2595483244656951,0.2838670477638916,0.3078199119227905,0.3341685032610029,0.3552047886380884,10,1
0.5,0.1862637607114216,0.1555005519464331,0.1721335884828496,0.185949402983377,0.2010019206650379,0.2165153836458805,10,1
0.2,0.1949529315119682,0.1646525880121048,0.1798121156381776,0.1931492554077582,0.2087409359256631,0.2266020666427011,10,1
0.1,0.2484978126171459,0.2206736186137954,0.2324968404647071,0.2498335121989968,0.262631958547455,0.2770039267018315,10,1
0.05,0.2597783068837472,0.2302427955107526,0.2438363234665595,0.2606252288042461,0.2757499721630525,0.2916534269918888,10,1
0.02,0.234793968646465,0.1959884606591913,0.218023894204973,0.2342438709381295,0.2521202776407192,0.275336478548513,10,1
0.01,0.2825073526360561,0.2457142047613073,0.2659881663368253,0.2837770571313264,0.2971939270540954,0.3146352473706039,10,1
1,0.1979236157962991,0.1464225638641494,0.1682948736017095,0.1952215610246598,0.2289985463148022,0.2569232836644091,10,10
0.5,0.1361018162514947,0.09641145557241448,0.1151057522480799,0.1341989074270883,0.1595357980386546,0.1738064025428223,10,10
0.2,0.1390794505846803,0.09331381125094174,0.1156952872048831,0.1403009808600358,0.1634142815965224,0.1855364209100746,10,10
0.1,0.1148322232516043,0.07559415095736223,0.09908767811286454,0.1162171489992963,0.1295692536373257,0.1469002467124239,10,10
0.05,0.1317119636104914,0.0908562078502029,0.1131363810949167,0.1319466232046001,0.1504107054895669,0.1679013519188956,10,10
0.02,0.09039022026889786,0.06910406008139866,0.07843011254115567,0.08962328985276513,0.1038331825229611,0.119486981151214,10,10
0.01,0.1035456532912798,0.07150406898630574,0.08700831461100726,0.1029833769221485,0.1198778052832676,0.137677311074467,10,10
1,0.1188923266152077,0.08933522619095062,0.1021567870876954,0.1164171029401971,0.1381524227621037,0.1608292870426918,10,100
