interval,tau_int,r2m,r2v,r1m,r1v,r1v_step,nch,z,n,kurt,acf1,r2bar
0.1,0.996741529693177,100.1004941725665,200.6744411648024,0.00542759022342917,100.1165344374137,100.0907183525131,5000,0.05,100,0.0067444116480239735,2.5792686200620807e-4,0.0010049417256650095
0.05,0.9966484910525112,200.0850586593673,412.5157280477844,-0.1489683554652338,194.9830099953297,200.063131591776,5000,0.05,200,0.06257864023892212,-0.025392592608278086,4.252932968364931e-4
0.02,1.001142115968595,499.9111512037429,1024.583345296051,-0.03786873280002934,492.2310029880389,499.8622954641207,5000,0.05,500,0.04916669059210177,-0.015266789564506333,-1.7769759251418105e-4
0.01,1.001435559663616,999.866757408524,2048.902353821553,-0.1420333274331304,1016.669943352298,999.7676074501032,5000,0.05,1000,0.048902353821552946,0.016906264792178938,-1.3324259147595718e-4
1,1.023366478869455,10.02357412435919,19.80749542298605,-0.04006380980906516,10.25560269957457,10.02144736300378,5000,0.1,10,-0.019250457701394996,0.02336542099050698,0.0023574124359189152
0.5,1.012077760049696,19.96942292225669,39.35792509960858,0.04085941285495091,19.93037322837603,19.96688882200467,5000,0.1,20,-0.03210374501957114,-0.0018288073797655402,-0.0015288538871655044
0.2,1.005433467205633,50.06379824392201,99.81378556439977,0.00551802333095004,50.44093582593766,50.05973611323768,5000,0.1,50,-0.0037242887120045864,0.007614896567526452,0.0012759648784401723
0.1,1.000008605625286,99.97612721230448,203.8728523387145,-0.1512205557418757,100.8116193383047,99.96703944932538,5000,0.1,100,0.03872852338714505,0.008448583589468317,-2.387278769552248e-4
0.05,1.005574894894398,200.0308806297799,399.8517136014974,-0.1601938148608421,203.2050962933707,200.0114442284796,5000,0.1,200,-7.414319925129753e-4,0.015967346654638837,1.5440314889936246e-4
0.02,1.002802322217749,500.2574157726555,1011.152797539133,-0.1359348375858915,511.5697453688425,500.2089913874565,5000,0.1,500,0.022305595078266016,0.02271201473183071,5.148315453109564e-4
0.01,1.000899469434416,1000.122809673185,1982.231953059376,-0.4598652974239819,995.3371422830264,1000.024531445447,5000,0.1,1000,-0.01776804694062384,-0.004687274176809808,1.2280967318489822e-4
1,0.9761227467967776,10.01545594534192,20.17583652893697,-0.00201643662318813,9.774039397663357,10.01319608103095,5000,0.2,10,0.01758365289369701,-0.023884150618068145,0.0015455945341920074
0.5,1.016822652831268,19.86283019000305,40.70306779596413,-0.00926696071383879,19.98939521348101,19.8613433470406,5000,0.2,20,0.03515338979820637,0.006447291313731451,-0.006858490499847547
0.2,1.017082914821867,50.12972158838713,99.33707789975134,0.03302616749730451,51.42505091038883,50.12295452169817,5000,0.2,50,-0.013258442004973281,0.02597804541085047,0.0025944317677426554
0.1,0.9997377981799744,99.947770893145,197.8965764420615,0.12621500762613,98.86607382171752,99.93655257153333,5000,0.2,100,-0.021034235579384886,-0.010711583722578077,-5.222910685499516e-4
0.05,1.003310794679809,199.878138591185,408.3753228815908,-0.06405118890378221,204.3121304510119,199.8609009355978,5000,0.2,200,0.041876614407954094,0.022271637396693356,-6.093070440749138e-4
0.02,0.9990713808869904,500.1009322646561,1023.957257358756,0.3320215181965228,496.6625583016523,500.0516018500894,5000,0.2,500,0.04791451471751218,-0.006777387645391597,2.0186452931225674e-4
0.01,0.999468517570824,1000.063524109267,2000.589054874082,-0.010836238714587179,995.5229266601636,999.9563904333672,5000,0.2,1000,5.890548740818957e-4,-0.004433657123069312,6.352410926702134e-5
1,0.9970738044215998,10.06429499950291,20.37422010555537,-0.01070096676661062,10.03451040167116,10.06390973573867,5000,0.5,10,0.03742201055553718,-0.00292126368772061,0.006429499950290962
0.5,0.99639768231309,20.02255727898202,39.33159876418038,0.06140704784529305,20.04773182715325,20.02025120067766,5000,0.5,20,-0.033420061790981226,0.0013726414419146238,0.0011278639491010267
0.2,0.99434087359045,50.11515046689963,98.8621574076821,0.0593428982009243,49.99854803603912,50.10985417401167,5000,0.5,50,-0.022756851846357895,-0.0022212425042394957,0.0023030093379925454
0.1,0.9951886520711026,100.0260850531339,198.6332990533475,0.04226097401525074,99.01167760797696,100.0159669673352,5000,0.5,100,-0.013667009466524771,-0.010041290304039552,2.60850531339063e-4
0.05,0.9923639787129004,199.8620003108448,398.7589409621089,-0.1008156242597862,200.844785744566,199.8408663834889,5000,0.5,200,-0.006205295189455562,0.005023593918726421,-6.899984457759967e-4
0.02,1.003907343879608,500.1689906653884,977.6823837726891,0.1495304393739654,510.999898481361,500.117408372286,5000,0.5,500,-0.044635232454621754,0.021759870636165024,3.3798133077667103e-4
0.01,0.997979264953498,1000.472019368973,2054.700272074042,0.04090131687038852,993.1491331192202,1000.369446098979,5000,0.5,1000,0.054700272074041933,-0.007217646448434589,4.72019368972898e-4
1,0.9963897644639644,9.967531035892542,20.11430693246839,-0.02411517857056597,9.930729106280452,9.966785461101018,5000,1,10,0.011430693246839319,-0.0036176513441860125,-0.0032468964107458254
0.5,1.0145454994476,19.9921415879342,39.51292135567002,0.02946185244152283,20.4078992702224,19.99070931144835,5000,1,20,-0.024353932216499175,0.020869192397046987,-3.9292060328999234e-4
0.2,0.9965385524831584,50.08522412261146,102.0460989412875,-0.05977796410883292,49.44748662807719,50.08017767812715,5000,1,50,0.04092197882574977,-0.012633562406993759,0.0017044824522292057
0.1,1.002452527126876,100.0244608734563,203.6505538147801,0.1138630802167092,100.7271891760589,100.0156560045347,5000,1,100,0.036505538147801,0.00711421791296285,2.4460873456311205e-4
0.05,1.001910858170667,200.2103920053102,408.5656550717384,-0.02091039502075477,202.9168921410185,200.1876405227032,5000,1,200,0.042828275358691936,0.013633467137077249,0.0010519600265510576
0.02,0.996326217168554,499.9084469186703,996.1925857539196,-0.05753498474384756,507.9498669289998,499.8554639995909,5000,1,500,-0.0076148284921606635,0.016193486942488677,-1.8310616265948543e-4
0.01,1.002785844424849,1000.251923622154,1994.204020074564,0.274522895774634,981.6457418097456,1000.145574323308,5000,1,1000,-0.005795979925436123,-0.018497139804952156,2.519236221538712e-4
1,1.00435965312387,9.988172111995764,20.16671989528692,0.06600241336373144,10.03048209292719,9.986857341712533,5000,10,10,0.016671989528691977,0.004368216118643131,-0.001182788800423551
0.5,0.9917995427155104,19.92687092096688,39.61403310279248,-2.745860712333098e-5,20.00218821669874,19.92587228255086,5000,10,20,-0.01929834486037585,0.0038299921361391043,-0.0036564539516559247
0.2,1.010602781696005,49.97888298673728,97.6506643357178,0.053891290024141,50.26321032754384,49.97323057478059,5000,10,50,-0.046986713285643855,0.0058027017550790205,-4.2234026525433954e-4
0.1,0.99537900067565,99.86977431273486,197.7168857221216,-0.1219237553198946,98.2421578283066,99.85987568313516,5000,10,100,-0.022831142778784175,-0.01619987851739102,-0.0013022568726513972
0.05,1.005431092846133,199.7652757248401,399.0535344364825,-0.1735763014742843,198.960686770633,199.7400257997697,5000,10,200,-0.004732327817587478,-0.003901766939381268,-0.0011736213757994607
0.02,0.999927469279076,499.693693005818,1030.211275709572,-0.02287563786886961,494.3512099338058,499.6384237096504,5000,10,500,0.0604225514191441,-0.010582080010157702,-6.126139883640969e-4
0.01,0.9983388418148396,1000.415860886175,1960.610282717657,-0.2368895046856729,985.3266224435396,1000.32019987511,5000,10,1000,-0.039389717282343195,-0.014988778026718275,4.158608861750679e-4
1,0.9846508759677032,9.930743144069698,19.67423401797212,0.00219609079710998,9.777661988628196,9.93011118298726,10000,0.05,10,-0.03257659820278813,-0.015352214245118012,-0.006925685593030195
0.5,1.015252984707707,20.01312933777553,40.9469001882108,0.00529131693283868,20.12815062038487,20.01015408264234,10000,0.05,20,0.04734500941053987,0.005896833040625271,6.56466888776519e-4
0.2,1.014780444581553,49.98435492800782,98.12270747551754,-0.01770305893099103,51.66489426859723,49.97999150333671,10000,0.05,50,-0.03754585048964909,0.03371154565218437,-3.1290143984363805e-4
0.1,1.002048528980557,100.1390497076476,199.0500498906831,0.3310553980700235,98.5728077618726,100.1273057576771,10000,0.05,100,-0.009499501093168883,-0.015525215464866515,0.0013904970764759828
0.05,0.998957949377248,200.1979460990633,402.0099597481089,-0.1469779271896005,198.6647427239176,200.1808804072889,10000,0.05,200,0.010049798740544347,-0.00757383862178318,9.897304953165875e-4
0.02,1.002631829400273,500.2214631484915,1008.556041227865,0.1252831801216745,506.6253026155499,500.1654099737986,10000,0.05,500,0.017112082455729816,0.012915512574309673,4.429262969829484e-4
0.01,1.00225079834751,1000.393215597229,2066.850113987507,-0.2603958152646295,1012.941079744393,1000.30257102131,10000,0.05,1000,0.06685011398750706,0.01263468583328664,3.932155972290463e-4
1,1.023754511857247,9.984289403492498,20.05944729343704,0.01657140274589369,10.21904275695007,9.981840563961445,10000,0.1,10,0.005944729343704047,0.02376337224269265,-0.0015710596507501062
0.5,1.01638016767713,19.97729805643683,39.27417669063131,-0.0282765338609861,20.41250278445859,19.97550181053607,10000,0.1,20,-0.03629116546843458,0.021876845851853455,-0.0011350971781585173
0.2,1.015351238319449,49.95398465289804,97.87289429312756,0.00143814457253824,49.5485721226418,49.94809119364928,10000,0.1,50,-0.042542114137448905,-0.007998685464446376,-9.203069420391508e-4
