nch,z,interval,q,se_q
1000,0.1,0.02,5.031644385769223e-4,0.0012316371733972669
1000,0.1,0.05,4.94959284284086e-4,0.0016208892017075894
1000,0.1,0.1,7.080128713310406e-4,0.003568643924961193
1000,0.1,0.2,6.463152722467754e-4,0.0018877126380596515
1000,0.1,0.5,6.069822332263883e-4,0.011041963403607996
1000,0.1,1,9.358782033280215e-4,0.022375613318031017
1000,0.2,0.01,0.0019329094501273876,0.004064143787623606
1000,0.2,0.02,2.55111602627438e-4,0.0018360079576281692
1000,0.2,0.05,3.091194344176251e-4,0.002632445860288366
1000,0.2,0.1,1.8565253693183378e-4,0.0011899945082135843
1000,0.2,0.2,0.0028853003214211487,0.013933861862364897
1000,0.2,0.5,2.1417258189229327e-4,4.053981852929504e-4
1000,0.2,1,0.001178477541904818,0.0038223794133830863
1000,0.5,0.01,6.494898718897207e-4,9.129767970813949e-4
1000,0.5,0.02,7.458699685245424e-4,0.0038448259114553076
1000,0.5,0.05,5.375253567192521e-4,4.337550601521458e-4
1000,0.5,0.1,3.844817811604094e-4,0.004109681521237514
1000,0.5,0.2,3.115135460474956e-4,7.441223151143497e-4
1000,0.5,0.5,4.915301689535184e-4,6.57550004774861e-4
1000,0.5,1,4.4687384274271993e-4,0.00479346234340277
1000,1,0.01,8.529485551700957e-4,0.004905837119603189
1000,1,0.02,4.227523983491153e-4,0.00514429967635913
1000,1,0.05,3.6432443061733646e-4,0.00297852343995864
1000,1,0.1,3.3388861283710334e-4,0.0036989938071712073
1000,1,0.2,9.643448755081163e-4,0.001663527881620521
1000,1,0.5,9.996432950095382e-4,7.955488230510722e-4
1000,1,1,0.0010510422708813806,0.01490218295552237
1000,10,0.01,4.954407899778122e-4,0.0024301749941422275
1000,10,0.02,6.196167948484212e-4,0.0055937350909522725
1000,10,0.05,4.6163693206312457e-4,0.0011055153650152039
1000,10,0.1,4.25246715855653e-4,0.006993549024243491
1000,10,0.2,6.348624980107696e-4,0.003473869725358476
1000,10,0.5,6.872949309708062e-4,0.0014666638642475565
1000,10,1,9.759968908829731e-4,0.013557941853493304
1000,100,0.01,4.1369061182611086e-4,0.00448706580602518
1000,100,0.02,3.943745708714769e-4,0.006614543583956559
1000,100,0.05,7.719967308419055e-4,0.003978775495335916
1000,100,0.1,0.001052743727440462,0.009968107113306509
1000,100,0.2,3.652850116401476e-4,0.005668338872444367
1000,100,0.5,3.4883004607794897e-4,0.0055061209557089015
1000,100,1,3.2738012095745797e-4,0.006689309739018826
1000,1000,0.01,0.001063800057898262,0.01959148207276503
1000,1000,0.02,2.2048147975041698e-4,9.326702095200464e-4
1000,1000,0.05,2.766453873252157e-4,3.4712311437328197e-4
1000,1000,0.1,4.5930496199716894e-4,5.009085420601184e-4
1000,1000,0.2,6.95763593889628e-4,0.0030805276710501196
1000,1000,0.5,3.2460234979206153e-4,0.005664704459114659
1000,1000,1,9.055956636025806e-4,0.03528448273911396
1000,10000,0.01,6.266992060541326e-4,0.021157841370355382
1000,10000,0.02,5.147385285776028e-4,0.06278664007996561
1000,10000,0.05,4.2029075108813887e-4,0.044805949930108516
1000,10000,0.1,4.5771108849609074e-4,0.010975308869258392
1000,10000,0.2,6.352672343446895e-4,0.05917327167872086
1000,10000,0.5,6.094561748711659e-4,0.0045034421049123105
1000,10000,1,1.0592981346199288e-4,0.016600638869742886
1000,100000,0.01,5.823497889887046e-4,0.07861484541610984
1000,100000,0.02,1.5878152884595093e-4,0.029490751615949832
1000,100000,0.05,0.0014411054207254903,0.0678993654272432
1000,100000,0.1,9.931012689392222e-4,0.08907694034999461
1000,100000,0.2,4.54793532995548e-4,0.004141714524318939
1000,100000,0.5,1.487808449691116e-4,0.07821839939217212
1000,100000,1,0.0011816397063471667,0.03372966230187354
1000,1000000,0.01,2.686963079885683e-4,0.10613544405370545
1000,1000000,0.02,3.4058988744828454e-4,0.059285471569756464
1000,1000000,0.05,6.174264124824276e-4,0.02896582086069429
1000,1000000,0.1,3.3179976399902623e-4,0.13689384333596785
1000,1000000,0.2,4.670718869117201e-4,0.308427003021541
1000,1000000,0.5,6.107548679211139e-4,0.0698807970501055
1000,1000000,1,0.0011417463111090508,1.0416357573518253
2000,0.05,0.01,6.107954923507908e-4,0.0050530170007266765
2000,0.05,0.02,0.0011300009960254268,0.0058431354459818705
2000,0.05,0.05,3.4240374759816043e-4,8.548499694373587e-4
2000,0.05,0.1,4.210758566139474e-5,7.285155776853103e-4
2000,0.05,0.2,0.0015048736830840922,0.013072789711951551
2000,0.05,0.5,4.1746397676533433e-4,0.00808375984873101
2000,0.05,1,6.27451180901595e-4,0.023397592526929512
2000,0.1,0.01,5.215709958258957e-4,0.00239384211957653
2000,0.1,0.02,3.2746971854911186e-4,0.005657096227607166
2000,0.1,0.05,0.0012177359438579856,0.0015186766429023189
2000,0.1,0.1,3.2702040669879473e-4,4.930706541597183e-4
2000,0.1,0.2,2.5987337245168184e-4,0.00397357594594894
2000,0.1,0.5,7.822388655494095e-5,0.00428735895752471
2000,0.1,1,3.273727036547314e-4,0.005750125332395187
2000,0.2,0.01,8.475189634104258e-4,0.005066186839141037
2000,0.2,0.02,5.607494205879484e-4,0.0019710414764229655
2000,0.2,0.05,7.953833735676725e-4,0.001764997067888879
2000,0.2,0.1,2.572849036397714e-4,0.00395080218860207
2000,0.2,0.2,6.410134294820373e-4,0.003523691975784494
2000,0.2,0.5,3.244250210490274e-4,7.568661209695857e-4
2000,0.2,1,1.8149525119494302e-4,0.007270099744620405
2000,0.5,0.01,5.606509329312691e-4,9.394939323050304e-4
2000,0.5,0.02,9.215710282470755e-4,0.0010588547830402842
2000,0.5,0.05,5.191596795238278e-4,0.0018693124660684073
2000,0.5,0.1,9.807171904306913e-4,0.002177277295657447
