interval,ebar,s,wmax,lmax,lmin,lmax_m,lmax_lo,lmax_hi,lmin_m,lmin_lo,lmin_hi,ebar_m,ebar_lo,ebar_hi,s2_m,s2_lo,s2_hi,nch,z
1,-3.6780440090625373e-4,0.12181303651055174,0.23699030269592652,1.2674288270729628,0.872839048952507,1.269810805479491,1.205972194281942,1.345203062615239,0.865933867688595,0.8325589199803085,0.8938439461051455,-9.1649915377188e-4,-0.02283975289493144,0.01941472889982666,0.01580958382363313,0.01109957595253629,0.02075908820905836,10,1
0.01,0.011676036966614982,0.02918331192260563,0.05327283288149467,1.0547173674460382,0.971169496958916,1.072244110581429,1.042795657441418,1.111992974754606,0.954793313159891,0.9292991568113758,0.9828787671082396,0.01124782704221761,-0.00715342388049602,0.0272029529919413,0.00164106334789749,7.9983628273139e-4,0.00280964005345058,10,10
0.02,0.002287178517174138,0.023601291795117847,0.03411306459376152,1.0347015882294979,0.9705742611102454,1.055517717346594,1.031223465006892,1.088638018814253,0.9495590537463576,0.9200862586062628,0.9765204299389124,0.0018746104521159,-0.01360397677379334,0.01768483354852219,0.00131950323550899,7.2860002484585e-4,0.00232051557947484,10,10
0.05,0.010219183491879016,0.04458196665626015,0.08402245744247824,1.0876533194464142,0.9522824993484182,1.097810948815778,1.053260795395881,1.142965854168399,0.940651428576946,0.9149086161427196,0.9645777235308544,0.00978244409913726,-0.00456601055508993,0.0282407859852058,0.00279143920930117,0.00137664129267645,0.00440826858791705,10,10
0.1,-0.003925867847650814,0.03684844179127447,0.06338522495307188,1.0549893101709706,0.93858183889339,1.067237487426407,1.033993747305703,1.116865530666558,0.9287537248279985,0.8987938535251825,0.9588105598154288,-0.00435963900796931,-0.0219857788026804,0.01414257952209377,0.00214053667974714,9.4775014191605e-4,0.00358293870494583,10,10
0.2,0.00744823374366271,0.0488071519217802,0.10714558339673334,1.1130962910230626,0.9508814722972447,1.11827062965659,1.056103848708803,1.180483595796378,0.9391325317921368,0.915885345874168,0.9665391259389248,0.00700307289226433,-0.00740379254620989,0.02491010589944482,0.00320017841660746,0.00134556312045499,0.00542380342926873,10,10
0.5,0.0033724901823654527,0.047218714489328066,0.08258671202089726,1.0860928466616384,0.9392401221967303,1.094840935956927,1.044259569186225,1.140974108858162,0.9285163008941416,0.8984342086067538,0.9505238483686522,0.00291168917135998,-0.01077006964151822,0.02016504846890344,0.00309114229654415,0.00152692611009614,0.004978172821423,10,10
1,0.005738399526041396,0.07494848483804417,0.16442697109462662,1.178717485960606,0.9269334417432813,1.182032948097047,1.106746286897766,1.262086116227429,0.9172641769084556,0.8945861289822984,0.9375452844007756,0.00521831827363146,-0.01275185950150086,0.02294181109625191,0.00655440355469799,0.00353802994856959,0.01082983002956677,10,10
0.01,0.007343532887831366,0.03251487751462309,0.05491682203562201,1.0564527374326587,0.9594445292056932,1.072445122107067,1.044529538798481,1.11101607786933,0.9466847800405735,0.9204017013968068,0.96621635936488115,0.00694066277581618,-0.007695940623466,0.01918752598355335,0.00181909099516891,0.00104095105543624,0.00300294376799028,10,100
0.02,-0.008878523385637924,0.024678598560714964,0.05472804878782076,1.024860717036182,0.946742580739772,1.042829717321772,1.0203292051515651,1.072889853124527,0.9354258582486712,0.9090310601535734,0.96286477373149,-0.00928325382624966,-0.02439606034134181,0.00653161887161571,0.00136381143757268,7.2425496870997e-4,0.00220635758613695,10,100
0.05,0.008890354655056942,0.03404468606172667,0.054453349975230055,1.0559632145545852,0.9587061442295686,1.074054437152889,1.040382970716025,1.115393409224095,0.9464594133745524,0.9238291966036204,0.9688765623581764,0.00847672130453724,-0.00800083506315029,0.02515460501952639,0.00192115814370923,9.0405037876691e-4,0.0033747477152486,10,100
0.1,0.007144706930808326,0.03184295727800469,0.05962317312679619,1.061436493379797,0.9732081726248712,1.076959339399319,1.044763841636182,1.121854177515418,0.9504002084101324,0.9267552721469594,0.9779991163855778,0.00671358597190924,-0.00598413838415702,0.02287012654122337,0.00181689597627383,9.5911770509984e-4,0.0029465283536161,10,100
0.2,-0.008783697303422341,0.028672318181001067,0.06280244250155012,1.0241418363161923,0.9391289873371839,1.046246640751535,1.019879170087342,1.074705382302641,0.928072289889677,0.8978550566119798,0.9572861551922158,-0.00922242762357487,-0.02566724609719241,0.00612498633974876,0.00164077877771737,8.6718598635306e-4,0.00286998465049067,10,100
