interval_in_tau,param_index,m,lo,hi,se,nch,z
0.05,5,3.575148677221153e-6,-0.00393846993269205,0.00373458006415235,0.24116547843988326,5,0.1
0.02,0,-0.0205300462700516,-0.0251780584283053,-0.015947689693195,0.22067297799940974,5,0.1
0.02,1,5.3510010608899e-4,-0.00492757894485143,0.00462692449389227,0.2050620680620063,5,0.1
0.02,2,0.00819608312435042,0.00491408220725226,0.01179810429629572,0.18242742326338804,5,0.1
0.02,3,-0.00208586326768222,-0.00284149548037517,-0.00142701157711827,0.030579576637588365,5,0.1
0.02,4,0.00456028748811077,0.00399692124156099,0.0050462828586689,0.023838832318892007,5,0.1
0.02,5,-0.00153747613464795,-0.00520687954344261,0.00208435841511294,0.21820037324135483,5,0.1
0.01,0,-0.03041498324912778,-0.0359420651390169,-0.02574845950708024,0.21720462999101087,5,0.1
0.01,1,-0.0023462846196545,-0.00763555214277664,0.00189347068536217,0.20560205484047853,5,0.1
0.01,2,0.01323974216509746,0.01010641753273612,0.01636501548893336,0.18179084427268993,5,0.1
0.01,3,-0.00133783347320771,-0.0017441590012268,-9.6642940572278e-4,0.020571691626759817,5,0.1
0.01,4,0.00549734082717368,0.00501488007619887,0.00597574211379165,0.023767863031219697,5,0.1
0.01,5,-0.00443960522474231,-0.00831647437753462,1.0029675965812e-4,0.21048225601553125,5,0.1
1,0,0.01131276178718938,-0.00308921447881297,0.02375815009673648,0.6678491616377781,5,1
1,1,0.00725017433730819,0.00139221498797378,0.01363148734029563,0.2672652785492035,5,1
1,2,0.00829275544387429,-9.4267375483341e-4,0.01652982479575063,0.4372025800537883,5,1
1,3,-0.02575379694183515,-0.03363327003049378,-0.0183189372456015,0.35689281950416785,5,1
1,4,0.00354185988411558,0.00200362499806376,0.00555044559921491,0.08042758025866804,5,1
1,5,-0.00917479096275191,-0.02474984378485313,0.00867693185791,0.7667069154893661,5,1
0.5,0,-0.00195930499598293,-0.0145862770063618,0.00816553806472985,0.6053171820105038,5,1
0.5,1,0.00673208902420247,0.00107666138014133,0.01220277498982256,0.2676707352633606,5,1
0.5,2,0.00703349735916953,-9.7244851011711e-4,0.0138928566457862,0.37206761273341743,5,1
0.5,3,-0.01918650885216986,-0.02316168247008199,-0.01485406396210065,0.22030297051297248,5,1
0.5,4,0.00313474301542241,0.00168961648129723,0.00483631282552659,0.07741887308259635,5,1
0.5,5,-0.00428875335371427,-0.01621594570209342,0.01351039322910405,0.689809657131264,5,1
0.2,0,0.01768833606250583,0.00630777378551484,0.0286619976754556,0.5366468584351333,5,1
0.2,1,0.00297073106486388,-0.00330137404859004,0.00869950533438428,0.2656122939176305,5,1
0.2,2,0.0188357075450539,0.01213673432011515,0.02553495047191347,0.32975024335887987,5,1
0.2,3,-0.00892985350785796,-0.01139329257846019,-0.00640481962029186,0.11521842601669717,5,1
0.2,4,0.00402045915372573,0.00222979793038562,0.00592429490987763,0.07550781992862858,5,1
0.2,5,-0.02623299123229181,-0.03962825029237194,-0.01363755426061132,0.61220777964307,5,1
0.1,0,1.7291146179428e-4,-0.01011642469838498,0.0083447449881382,0.49085726213564884,5,1
0.1,1,-9.9807174483108e-4,-0.00529300000871295,0.00468844764066291,0.2621137396554697,5,1
0.1,2,0.00995386996850438,0.00448147892362629,0.01473916581286297,0.3080945231574855,5,1
0.1,3,-0.00341458507294503,-0.00505910356774985,-0.00153149431539078,0.07258437005043379,5,1
0.1,4,0.00481219569709136,0.0032323740116595,0.00602632599919941,0.07498376498007459,5,1
0.1,5,-0.00848676766691952,-0.01956603604438246,0.0010872041073796,0.560012987051545,5,1
0.05,0,0.00864689875033009,-7.137549427118e-4,0.01646991818797489,0.46819013216461325,5,1
0.05,1,3.677660552853016e-5,-0.00528760331047269,0.00497626196894734,0.26108880078314595,5,1
0.05,2,0.01390041297378425,0.00811892276884355,0.01947074546203428,0.2964108319652243,5,1
0.05,3,-0.00155643592088654,-0.00250212826269354,-6.8320247306324e-4,0.04762177890392588,5,1
0.05,4,0.00630008039647461,0.00498403771154028,0.00807452906184607,0.07469437300394623,5,1
0.05,5,-0.01823711076680757,-0.02917367397715269,-0.00824382834090215,0.5318223805286578,5,1
0.02,0,0.00389290525325735,-0.00430699370621048,0.01337810260686745,0.44446192278833446,5,1
0.02,1,-0.00314371007568609,-0.00841248421852323,0.00204708834320217,0.25918788001214194,5,1
0.02,2,0.01090108637076553,0.00560812130523855,0.01586096907787892,0.28654221061478713,5,1
0.02,3,-5.0875752431463e-4,-0.00101414133105406,1.2971301071249e-4,0.028577680176696988,5,1
0.02,4,0.00647179794380753,0.00509500504648242,0.00794457395002018,0.07443296995268582,5,1
0.02,5,-0.01388042564220412,-0.02358400023980982,-0.00294984374442759,0.5018975322627159,5,1
0.01,0,-0.00339164065103978,-0.01244329369507472,0.00565507689838777,0.4340256978433261,5,1
0.01,1,-0.00553943384810683,-0.01174827550990186,0.00124675227010566,0.25900000956917796,5,1
0.01,2,0.00999369539551906,0.00386938459639239,0.01614301707689042,0.2827618906463085,5,1
0.01,3,-4.8940808180502e-4,-8.5574932290475e-4,-1.5034014513545e-4,0.019821799703924718,5,1
0.01,4,0.00787830619146009,0.00632922100098933,0.00945994021431615,0.07437746859620721,5,1
0.01,5,-0.01103390085443976,-0.02176006827267245,-0.0015208443253738,0.4895338304614918,5,1
1,0,-0.04135839407236696,-0.05074985532866273,-0.03125223197747468,0.47295658853405204,10,0.05
1,1,0.0281673423065306,0.02381153565747664,0.03290183204284867,0.17812005350099697,10,0.05
1,2,-0.03775867427722247,-0.04236756720007875,-0.03363045520723914,0.2766562901694196,10,0.05
1,3,-0.02515949098144221,-0.0329289529950053,-0.01700250319051987,0.42219418054733865,10,0.05
1,4,8.033129289929636e-5,-4.2470011738517e-4,4.7821381638259e-4,0.02063746595061661,10,0.05
1,5,0.07391868893366875,0.06369262601304557,0.0826456180007375,0.49139964881903375,10,0.05
0.5,0,-0.03636657448716272,-0.04394365146812981,-0.02748485202501978,0.426775748709396,10,0.05
0.5,1,0.02240722544803669,0.01831796524916848,0.02682895872772781,0.18235814948193066,10,0.05
0.5,2,-0.03299050910875638,-0.03720274706273878,-0.02935894273173468,0.21306058703210928,10,0.05
0.5,3,-0.04211469769647398,-0.04717105015992004,-0.03689816071830632,0.2732470201815982,10,0.05
0.5,4,4.0065397506339e-4,-1.512379085936904e-5,7.9527955574973e-4,0.019234646625525775,10,0.05
0.5,5,0.06431539547687909,0.05590530046763664,0.07177196663335103,0.43275965171127206,10,0.05
