i_step,time,i_sub_step,number_of_samples,ATP_concentration
639,605.870469999998,0,685.0,0.0
640,605.884169999998,0,685.0,0.0
641,605.897869999998,0,685.0,0.0
642,605.9115699999979,0,685.0,0.0
643,605.925259999998,0,684.0,0.0
644,605.9389499999979,0,685.0,0.0
645,605.952649999998,0,685.0,0.0
646,605.966349999998,0,685.0,0.0
647,605.980049999998,0,685.0,0.0
648,605.993739999998,0,684.0,0.0
649,606.007429999998,0,685.0,0.0
650,606.021129999998,0,685.0,0.0
651,606.034829999998,0,685.0,0.0
652,606.048519999998,0,684.0,0.0
653,606.062209999998,0,685.0,0.0
654,606.0759099999981,0,685.0,0.0
655,606.0896099999981,0,685.0,0.0
656,606.1033099999979,0,685.0,0.0
657,606.116999999997,0,684.0,0.0
658,606.130689999997,0,685.0,0.0
659,606.144389999997,0,685.0,0.0
660,606.1580899999971,0,685.0,0.0
661,606.171779999997,0,684.0,0.0
662,606.1854699999969,0,685.0,0.0
663,606.199169999997,0,685.0,0.0
664,606.212869999997,0,685.0,0.0
665,606.2265699999971,0,685.0,0.0
666,606.240259999997,0,684.0,0.0
667,606.2539499999971,0,685.0,0.0
668,606.267649999997,0,685.0,0.0
669,606.2813499999969,0,685.0,0.0
670,606.295039999997,0,684.0,0.0
671,606.3087299999969,0,685.0,0.0
672,606.322429999997,0,685.0,0.0
673,606.336129999997,0,685.0,0.0
674,606.349829999997,0,685.0,0.0
675,606.363519999997,0,684.0,0.0
676,606.377209999997,0,685.0,0.0
677,606.390909999996,0,685.0,0.0
678,606.4046099999961,0,685.0,0.0
679,606.4183099999959,0,685.0,0.0
680,606.431999999996,0,684.0,0.0
681,606.445689999996,0,685.0,0.0
682,606.459389999996,0,685.0,0.0
683,606.473089999996,0,685.0,0.0
684,606.486779999996,0,684.0,0.0
685,606.500469999996,0,685.0,0.0
686,606.5141699999959,0,685.0,0.0
687,606.527869999996,0,685.0,0.0
688,606.541569999996,0,685.0,0.0
689,606.555259999996,0,684.0,0.0
690,606.568949999996,0,685.0,0.0
691,606.582649999996,0,685.0,0.0
692,606.596349999996,0,685.0,0.0
693,606.6100399999959,0,684.0,0.0
694,606.623729999996,0,685.0,0.0
695,606.637429999996,0,685.0,0.0
696,606.644329999996,0,5.0,0.0
697,606.644429999996,0,5.0,0.0
698,606.644509999996,0,2.1003052533037714,0.0
698,606.644549999996,1,2.8996947466962286,4593.41457978121
699,606.6446299999959,0,5.0,4593.41457978121
700,606.644699999996,0,1.4121916832866521,4593.41457978121
700,606.644739999996,1,3.587808316713348,0.0
701,606.644827499996,0,5.0,0.0
702,606.644931999996,0,6.0,0.0
703,606.6450449999959,0,5.0,0.0
704,606.645164999996,0,7.0,0.0
705,606.645289999996,0,5.0,0.0
706,606.645409999996,0,7.0,0.0
707,606.645559999996,0,8.0,0.0
708,606.6457399999961,0,10.0,0.0
709,606.645969999996,0,13.0,0.0
710,606.646259999996,0,16.0,0.0
711,606.6466299999961,0,21.0,0.0
712,606.647099999996,0,26.0,0.0
713,606.647679999996,0,32.0,0.0
714,606.648419999996,0,42.0,0.0
715,606.649349999996,0,51.0,0.0
716,606.6505099999961,0,65.0,0.0
717,606.651979999996,0,82.0,0.0
718,606.653829999996,0,103.0,0.0
719,606.6561599999959,0,130.0,0.0
720,606.659089999996,0,163.0,0.0
721,606.6627799999959,0,206.0,0.0
722,606.667429999996,0,259.0,0.0
723,606.673279999996,0,326.0,0.0
724,606.6806399999961,0,410.0,0.0
